regex,categorie,confiance,source
"(?i)\btotal\b|\besso\b|\bbp\b|\bshell\b|\bavia\b|carburant|gazole|\bgo\b\W*\d",carburant,haute,libellés réels échantillon carburant
"cofiroute|sanef|\basf\b|vinci|effia|aprr|sapn|parkeo|horodat|parking",peage_stationnement,haute,libellés réels échantillon péage
"norauto|midas|feu vert|speedy|euro.?repar|contr[oô]le tech|entret",entretien_reparation_vehicule,haute,libellés réels échantillon entretien
"\bmma\b|matmut|\bmaif\b|\baxa\b|allianz|generali|assuran",assurance_vehicule,moyenne,libellés réels échantillon assurance — à affiner (assurance véhicule vs santé)
"\bsfr\b|bouygues.*telecom|free mobile|\borange\b",telecommunications,haute,libellés réels échantillon télécom
"\buber\b|\bbolt\b|heetch|freenow|stichting custodian",recettes_plateformes,haute,libellés réels échantillon recettes — distinguer virement reçu (recette) de commission (charge) par le sens du montant
"amende\.?gouv|\bantai\b",amendes_infractions,haute,libellés réels échantillon amendes
"expert.?comptable|greffe|infogreffe|avocat|conseil juridique",honoraires_comptable_juridique,moyenne,libellés réels échantillon honoraires
"carrefour|auchan|franprix|mcdonald|\bquick\b|pizza|\bkfc\b|leclerc(?!.*\bgo\b)",frais_bouche_a_verifier,moyenne,"⚠️ usage personnel probable — signalé pour revue humaine, pas d'auto-validation"
"\bzara\b|kiabi|primark|s[ée]phora|\bfnac\b|\bh&m\b|shein|\bnike\b|adidas|decathlon",usage_personnel_suspect,moyenne,"⚠️ trouvé mélangé dans fournitures_administratives — signalé pour revue humaine, pas d'auto-validation"
urssaf,charges_sociales_impots,haute,libellés réels échantillon URSSAF
dgfip,charges_sociales_impots,moyenne,"peut aussi être une subvention (compte 741) — trancher par le compte PCG, pas le libellé seul"
